vector_count,dimensions,m,ef_construction,ef_search,k,recall_at_k,avg_returned,query_p50_ms,query_p95_ms,query_p99_ms,query_mean_ms,num_queries,build_time_ms,insert_throughput_per_sec,memory_delta_bytes,memory_delta_mb,max_graph_level,num_levels
100000,64,32,200,16,10,0.343000,10.000,0.077208,0.109418,0.118868,0.077733,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,16,50,0.553700,50.000,0.180812,0.219858,0.236514,0.183202,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,16,200,0.816900,200.000,0.597667,0.741192,0.817164,0.613891,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,16,500,0.936540,500.000,1.325645,1.597842,1.788856,1.354961,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,32,10,0.542500,10.000,0.116313,0.147776,0.163325,0.117631,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,32,50,0.553700,50.000,0.168270,0.201401,0.221546,0.169997,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,32,200,0.816900,200.000,0.616270,0.807785,0.887755,0.633910,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,32,500,0.936540,500.000,1.270958,1.549785,1.673865,1.300783,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,64,10,0.728000,10.000,0.208000,0.244613,0.272859,0.209899,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,64,50,0.623600,50.000,0.197875,0.224633,0.230839,0.197102,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,64,200,0.816900,200.000,0.554167,0.587537,0.606567,0.551563,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,64,500,0.936540,500.000,1.264396,1.814483,2.002540,1.353773,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,128,10,0.884000,10.000,0.378312,0.454219,0.492936,0.383279,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,128,50,0.806700,50.000,0.374584,0.478666,0.505300,0.384838,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,128,200,0.816900,200.000,0.599417,0.764493,0.860812,0.616728,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,128,500,0.936540,500.000,1.246104,1.550519,1.687164,1.282847,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,256,10,0.973000,10.000,0.669709,0.700955,0.708852,0.667737,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,256,50,0.935800,50.000,0.670791,0.703695,0.716272,0.668110,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,256,200,0.873275,200.000,0.675771,0.708269,0.736048,0.671518,200,38030.540,2629.47,43155456,41.156,3,4
100000,64,32,200,256,500,0.936540,500.000,1.257750,1.663308,1.878493,1.323133,200,38030.540,2629.47,43155456,41.156,3,4
